ARM Address,ARM Function Name,MIPS Address,MIPS Function Name,Similarity Score,Intersection Size,Union Size,UserDefined
0x0003dd94,_Fork,0x00439bd0,_Fork,0.26666666666666666,4,15,0
0x00038b28,_IO_adjust_column,0x00433218,_IO_adjust_column,1.0,12,12,0
0x0005ca10,_IO_adjust_wcolumn,0x004623bc,_IO_adjust_wcolumn,1.0,13,13,0
0x00039320,_IO_cleanup,0x00433a94,_IO_cleanup,0.9090909090909091,20,22,0
0x00038650,_IO_default_doallocate,0x00432c04,_IO_default_doallocate,1.0,14,14,0
0x00038990,_IO_default_finish,0x00432f9c,_IO_default_finish,1.0,12,12,0
0x00039a8c,_IO_default_imbue,0x004343d4,_IO_default_imbue,1.0,1,1,0
0x00039930,_IO_default_pbackfail,0x004341b8,_IO_default_pbackfail,1.0,20,20,0
0x00039a74,_IO_default_read,0x004343bc,_IO_default_read,1.0,2,2,0
0x00039a60,_IO_default_seek,0x004343a8,_IO_default_seek,1.0,2,2,0
0x00038a10,_IO_default_seekoff,0x00433084,_IO_default_seekoff,1.0,2,2,0
0x000385e8,_IO_default_seekpos,0x00432b7c,_IO_default_seekpos,1.0,12,12,0
0x00038500,_IO_default_setbuf,0x00432a3c,_IO_default_setbuf,0.95,19,20,0
0x00039a84,_IO_default_showmanyc,0x004343cc,_IO_default_showmanyc,1.0,2,2,0
0x00039a6c,_IO_default_stat,0x004343b4,_IO_default_stat,1.0,2,2,0
0x00038988,_IO_default_sync,0x00432f94,_IO_default_sync,1.0,2,2,0
0x000382a4,_IO_default_uflow,0x00432654,_IO_default_uflow,1.0,16,16,0
0x0003829c,_IO_default_underflow,0x0043264c,_IO_default_underflow,1.0,2,2,0
0x00039a7c,_IO_default_write,0x004343c4,_IO_default_write,1.0,2,2,0
0x00038444,_IO_default_xsgetn,0x004328dc,_IO_default_xsgetn,1.0,17,17,0
0x000382fc,_IO_default_xsputn,0x004326e8,_IO_default_xsputn,0.9444444444444444,17,18,0
0x000381e4,_IO_doallocbuf,0x00432534,_IO_doallocbuf,1.0,19,19,0
0x000387d8,_IO_enable_locks,0x00432de0,_IO_enable_locks,1.0,12,12,0
0x00036c1c,_IO_file_close,0x004309dc,_IO_file_close,1.0,4,4,0
0x00036bec,_IO_file_close_mmap,0x00430984,_IO_file_close_mmap,1.0,7,7,0
0x0005b2f8,_IO_file_doallocate,0x00460230,_IO_file_doallocate,0.9130434782608695,21,23,0
0x00035234,_IO_file_open,0x0042e6d8,_IO_file_open,0.88,22,25,0
0x00036bc4,_IO_file_read,0x00430904,_IO_file_read,1.0,7,7,0
0x00036bdc,_IO_file_seek,0x00430944,_IO_file_seek,1.0,5,5,0
0x00036b4c,_IO_file_seekoff_maybe_mmap,0x00430860,_IO_file_seekoff_maybe_mmap,1.0,16,16,0
0x000369fc,_IO_file_seekoff_mmap,0x00430688,_IO_file_seekoff_mmap,0.7586206896551724,22,29,0
0x00035484,_IO_file_setbuf_mmap,0x0042ea08,_IO_file_setbuf_mmap,1.0,9,9,0
0x00036be4,_IO_file_stat,0x00430964,_IO_file_stat,1.0,5,5,0
0x0003636c,_IO_file_sync_mmap,0x0042fdd4,_IO_file_sync_mmap,0.75,15,20,0
0x00036028,_IO_file_underflow_maybe_mmap,0x0042f944,_IO_file_underflow_maybe_mmap,1.0,11,11,0
0x00035f9c,_IO_file_underflow_mmap,0x0042f84c,_IO_file_underflow_mmap,0.8947368421052632,17,19,0
0x00036e60,_IO_file_xsgetn,0x00430da4,_IO_file_xsgetn,0.8214285714285714,23,28,0
0x00037180,_IO_file_xsgetn_maybe_mmap,0x00431278,_IO_file_xsgetn_maybe_mmap,1.0,12,12,0
0x00037050,_IO_file_xsgetn_mmap,0x004310b8,_IO_file_xsgetn_mmap,0.95,19,20,0
0x00038b60,_IO_flush_all,0x00433258,_IO_flush_all,0.9047619047619048,19,21,0
0x00038f38,_IO_flush_all_linebuffered,0x00433668,_IO_flush_all_linebuffered,0.9047619047619048,19,21,0
0x000346d8,_IO_fputs,0x0042d5f0,_IO_fputs,0.9090909090909091,20,22,0
0x00037e28,_IO_free_backup_area,0x00431f7c,_IO_free_backup_area,1.0,10,10,0
0x0005c534,_IO_free_wbackup_area,0x00461bec,_IO_free_wbackup_area,1.0,11,11,0
0x0005e598,_IO_fwide,0x00464850,_IO_fwide,0.8125,13,16,0
0x0003493c,_IO_fwrite,0x0042d8d0,_IO_fwrite,0.875,21,24,0
0x000662f0,_IO_getline,0x0046f254,_IO_getline,1.0,2,2,0
0x00066198,_IO_getline_info,0x0046f030,_IO_getline_info,0.85,17,20,0
0x00038744,_IO_init,0x00432d54,_IO_init,0.9166666666666666,11,12,0
0x000386b0,_IO_init_internal,0x00432cc8,_IO_init_internal,0.9166666666666666,11,12,0
0x00039744,_IO_init_marker,0x00433eec,_IO_init_marker,1.0,13,13,0
0x0005ca4c,_IO_init_wmarker,0x00462404,_IO_init_wmarker,0.9285714285714286,13,14,0
0x00039a90,_IO_iter_begin,0x004343dc,_IO_iter_begin,1.0,3,3,0
0x00039aa0,_IO_iter_end,0x004343fc,_IO_iter_end,1.0,2,2,0
0x00039ab0,_IO_iter_file,0x00434410,_IO_iter_file,0.5,1,2,0
0x00039aa8,_IO_iter_next,0x00434404,_IO_iter_next,1.0,3,3,0
0x00037ce8,_IO_least_marker,0x00431ddc,_IO_least_marker,0.75,9,12,0
0x0005bee8,_IO_least_wmarker,0x004611b8,_IO_least_wmarker,0.7692307692307693,10,13,0
0x000378e4,_IO_link_in,0x00431a64,_IO_link_in,0.7083333333333334,17,24,0
0x00039ab4,_IO_list_lock,0x00434418,_IO_list_lock,0.75,12,16,0
0x00039c48,_IO_list_resetlock,0x00434590,_IO_list_resetlock,1.0,2,2,0
0x00039b94,_IO_list_unlock,0x00434504,_IO_list_unlock,0.6428571428571429,9,14,0
0x000397e4,_IO_marker_delta,0x00434008,_IO_marker_delta,0.9,9,10,0
0x000397d4,_IO_marker_difference,0x00433ff8,_IO_marker_difference,1.0,4,4,0
0x000354f4,_IO_new_do_write,0x0042eaac,_IO_new_do_write,0.6,6,10,0
0x0005b438,_IO_new_fclose,0x004603f0,_IO_new_fclose,0.8,20,25,0
0x00035354,_IO_new_file_attach,0x0042e868,_IO_new_file_attach,0.782608695652174,18,23,0
0x00035518,_IO_new_file_close_it,0x0042eb04,_IO_new_file_close_it,1.0,20,20,0
0x00035b04,_IO_new_file_finish,0x0042f278,_IO_new_file_finish,1.0,17,17,0
0x000356a4,_IO_new_file_fopen,0x0042ed24,_IO_new_file_fopen,0.8846153846153846,23,26,0
0x000351fc,_IO_new_file_init,0x0042e67c,_IO_new_file_init,1.0,8,8,0
0x000351c4,_IO_new_file_init_internal,0x0042e620,_IO_new_file_init_internal,1.0,8,8,0
0x0003607c,_IO_new_file_overflow,0x0042f9dc,_IO_new_file_overflow,0.84,21,25,0
0x00036404,_IO_new_file_seekoff,0x0042fe80,_IO_new_file_seekoff,0.8235294117647058,28,34,0
0x0003544c,_IO_new_file_setbuf,0x0042e9a8,_IO_new_file_setbuf,0.7,7,10,0
0x00036264,_IO_new_file_sync,0x0042fc6c,_IO_new_file_sync,0.9047619047619048,19,21,0
0x00035ba4,_IO_new_file_underflow,0x0042f37c,_IO_new_file_underflow,0.8518518518518519,23,27,0
0x00036c24,_IO_new_file_write,0x004309fc,_IO_new_file_write,0.9,18,20,0
0x00036cc4,_IO_new_file_xsputn,0x00430b08,_IO_new_file_xsputn,0.8695652173913043,20,23,0
0x0005b914,_IO_new_fopen,0x00460a08,_IO_new_fopen,1.0,3,3,0
0x000388ac,_IO_no_init,0x00432ec4,_IO_no_init,0.9230769230769231,12,13,0
0x0003882c,_IO_old_init,0x00432e44,_IO_old_init,0.9166666666666666,11,12,0
0x00039798,_IO_remove_marker,0x00433fa8,_IO_remove_marker,1.0,10,10,0
0x00039818,_IO_seekmark,0x00434064,_IO_seekmark,1.0,13,13,0
0x0005cae8,_IO_seekwmark,0x00462534,_IO_seekwmark,1.0,13,13,0
0x00038190,_IO_setb,0x00432490,_IO_setb,1.0,12,12,0
0x000383ec,_IO_sgetn,0x0043285c,_IO_sgetn,1.0,11,11,0
0x00038a1c,_IO_sputbackc,0x00433090,_IO_sputbackc,0.8947368421052632,17,19,0
0x0005c908,_IO_sputbackwc,0x00462230,_IO_sputbackwc,1.0,17,17,0
0x000103c0,_IO_stdfiles_init,0x004008d4,_IO_stdfiles_init,0.9090909090909091,10,11,0
0x0003a158,_IO_str_count,0x00434ce0,_IO_str_count,0.8888888888888888,8,9,0
0x0003a454,_IO_str_finish,0x00435148,_IO_str_finish,0.9,9,10,0
0x00039f14,_IO_str_init_readonly,0x0043497c,_IO_str_init_readonly,0.8125,13,16,0
0x00039e8c,_IO_str_init_static,0x004348a0,_IO_str_init_static,0.75,12,16,0
0x00039e08,_IO_str_init_static_internal,0x004347d0,_IO_str_init_static_internal,0.9230769230769231,12,13,0
0x00039f90,_IO_str_overflow,0x00434a40,_IO_str_overflow,0.9565217391304348,22,23,0
0x0003a434,_IO_str_pbackfail,0x00435104,_IO_str_pbackfail,0.5714285714285714,8,14,0
0x0003a174,_IO_str_seekoff,0x00434d08,_IO_str_seekoff,0.8,24,30,0
0x0003a114,_IO_str_underflow,0x00434c6c,_IO_str_underflow,0.9230769230769231,12,13,0
0x00038aac,_IO_sungetc,0x0043315c,_IO_sungetc,0.9444444444444444,17,18,0
0x0005c994,_IO_sungetwc,0x004622fc,_IO_sungetwc,1.0,16,16,0
0x00037d4c,_IO_switch_to_backup_area,0x00431e58,_IO_switch_to_backup_area,1.0,5,5,0
0x00037d80,_IO_switch_to_get_mode,0x00431e8c,_IO_switch_to_get_mode,1.0,17,17,0
0x00037d18,_IO_switch_to_main_get_area,0x00431e20,_IO_switch_to_main_get_area,1.0,5,5,0
0x0005bf20,_IO_switch_to_main_wget_area,0x00461204,_IO_switch_to_main_wget_area,1.0,5,5,0
0x0005bf58,_IO_switch_to_wbackup_area,0x00461240,_IO_switch_to_wbackup_area,1.0,5,5,0
0x0005c4b0,_IO_switch_to_wget_mode,0x00461b34,_IO_switch_to_wget_mode,1.0,12,12,0
0x000378d4,_IO_un_link,0x004316b8,_IO_un_link,0.4117647058823529,7,17,0
0x000398c8,_IO_unsave_markers,0x00434118,_IO_unsave_markers,0.9090909090909091,10,11,0
0x0005cba8,_IO_unsave_wmarkers,0x00462604,_IO_unsave_wmarkers,1.0,11,11,0
0x00034bdc,_IO_vtable_check,0x0042dec0,_IO_vtable_check,1.0,1,1,0
0x0005c448,_IO_wdefault_doallocate,0x00461a64,_IO_wdefault_doallocate,1.0,14,14,0
0x0005c148,_IO_wdefault_finish,0x00461520,_IO_wdefault_finish,1.0,12,12,0
0x0005bfec,_IO_wdefault_pbackfail,0x0046132c,_IO_wdefault_pbackfail,0.9090909090909091,20,22,0
0x0005c1c8,_IO_wdefault_uflow,0x004615ec,_IO_wdefault_uflow,0.9375,15,16,0
0x0005c824,_IO_wdefault_xsgetn,0x004620b4,_IO_wdefault_xsgetn,0.9,18,20,0
0x0005c288,_IO_wdefault_xsputn,0x00461770,_IO_wdefault_xsputn,0.9523809523809523,20,21,0
0x0005cd14,_IO_wdo_write,0x00462808,_IO_wdo_write,0.8636363636363636,19,22,0
0x0005c3b8,_IO_wdoallocbuf,0x0046196c,_IO_wdoallocbuf,1.0,14,14,0
0x0005d774,_IO_wfile_overflow,0x00463588,_IO_wfile_overflow,0.8181818181818182,18,22,0
0x0005dba0,_IO_wfile_seekoff,0x00463aec,_IO_wfile_seekoff,0.8529411764705882,29,34,0
0x0005da0c,_IO_wfile_sync,0x004638c4,_IO_wfile_sync,0.8636363636363636,19,22,0
0x0005ce7c,_IO_wfile_underflow,0x004629f4,_IO_wfile_underflow,0.8,24,30,0
0x0005d748,_IO_wfile_underflow_maybe_mmap,0x00463520,_IO_wfile_underflow_maybe_mmap,0.75,6,8,0
0x0005d5e4,_IO_wfile_underflow_mmap,0x00463330,_IO_wfile_underflow_mmap,0.8947368421052632,17,19,0
0x0005e454,_IO_wfile_xsputn,0x00464660,_IO_wfile_xsputn,0.9523809523809523,20,21,0
0x0005caa8,_IO_wmarker_delta,0x004624cc,_IO_wmarker_delta,0.9090909090909091,10,11,0
0x0005bf90,_IO_wsetb,0x00461278,_IO_wsetb,1.0,12,12,0
0x0006f0f4,_Unwind_DebugHook,0x0047c320,_Unwind_DebugHook,1.0,1,1,0
0x0006f3e0,_Unwind_DeleteException,0x0047c918,_Unwind_DeleteException,0.7142857142857143,5,7,0
0x0006f278,_Unwind_GetCFA,0x0047c0a4,_Unwind_GetCFA,0.6,3,5,0
0x000103b0,_Unwind_GetDataRelBase,0x0047c1dc,_Unwind_GetDataRelBase,0.2,1,5,0
0x0006f454,_Unwind_GetGR,0x0047afc8,_Unwind_GetGR,0.21428571428571427,3,14,0
0x0007032c,_Unwind_GetLanguageSpecificData,0x0047c180,_Unwind_GetLanguageSpecificData,0.375,3,8,0
0x0007031c,_Unwind_GetRegionStart,0x0047c18c,_Unwind_GetRegionStart,0.6,3,5,0
0x000103b8,_Unwind_GetTextRelBase,0x0047c1e8,_Unwind_GetTextRelBase,0.2,1,5,0
0x0006f4dc,_Unwind_SetGR,0x0047c0b0,_Unwind_SetGR,0.2,3,15,0
0x0001fe90,____strtol_l_internal,0x004130e0,____strtol_l_internal,0.8,24,30,0
0x0002eefc,____strtoul_l_internal,0x00426180,____strtoul_l_internal,0.8214285714285714,23,28,0
0x00057514,___asprintf,0x0045b090,___asprintf,0.8333333333333334,5,6,0
0x0006be18,___dlmopen,0x00476548,___dlmopen,0.5454545454545454,6,11,0
0x0006bf78,___dlopen,0x00476700,___dlopen,0.5454545454545454,6,11,0
0x0006c030,___dlsym,0x0047684c,___dlsym,0.7272727272727273,8,11,0
0x0006c108,___dlvsym,0x004769d4,___dlvsym,0.7272727272727273,8,11,0
0x00059d18,___printf_fp,0x0045e5d4,___printf_fp,0.8181818181818182,9,11,0
0x0003aec4,___pthread_mutex_lock,0x00435e00,___pthread_mutex_lock,0.7692307692307693,20,26,0
0x0003b9f0,___pthread_mutex_unlock,0x00436a5c,___pthread_mutex_unlock,1.0,3,3,0
0x0003bbf8,___pthread_once,0x00436d4c,___pthread_once,0.8888888888888888,8,9,0
0x0005f3bc,___pthread_rwlock_init,0x004659b0,___pthread_rwlock_init,0.8125,13,16,0
0x0005f40c,___pthread_rwlock_rdlock,0x00465a30,___pthread_rwlock_rdlock,0.75,21,28,0
0x0005f6e0,___pthread_rwlock_unlock,0x00465d90,___pthread_rwlock_unlock,0.7391304347826086,17,23,0
0x0005f960,___pthread_rwlock_wrlock,0x00466070,___pthread_rwlock_wrlock,0.8214285714285714,23,28,0
0x0005ec38,___vsnprintf,0x004650d8,___vsnprintf,0.8333333333333334,10,12,0
0x0002e7f4,__add_to_environ,0x00425870,__add_to_environ,0.8095238095238095,17,21,0
0x00028710,__alloc_dir,0x0041d81c,__alloc_dir,0.8,12,15,0
0x0005fe4c,__argz_add_sep,0x00466670,__argz_add_sep,0.875,14,16,0
0x0005ff10,__argz_create_sep,0x00466790,__argz_create_sep,0.8823529411764706,15,17,0
0x0006c21c,__atomic_wide_counter_fetch_add_relaxed,0x00476bc0,__atomic_wide_counter_fetch_add_relaxed,0.75,12,16,0
0x0006c274,__atomic_wide_counter_load_relaxed,0x00476c24,__atomic_wide_counter_load_relaxed,0.5789473684210527,11,19,0
0x0002b680,__bind,0x00421950,__bind,0.4,4,10,0
0x0002a6d4,__brk,0x004201c0,__brk,0.2727272727272727,3,11,0
0x0001f2b8,__bsd_signal,0x004123f0,__bsd_signal,0.9047619047619048,19,21,0
0x00029900,__chdir,0x0041efd0,__chdir,0.4,4,10,0
0x0003ed7c,__chk_fail,0x0043b2d0,__chk_fail,1.0,3,3,0
0x0002ece8,__clearenv,0x00425ee8,__clearenv,0.6470588235294118,11,17,0
0x00028538,__clock_gettime,0x0041d4d8,__clock_gettime,0.9166666666666666,11,12,0
0x00028408,__clock_gettime64,0x0041d3a0,__clock_gettime64,0.9444444444444444,17,18,0
0x0006070c,__clock_nanosleep,0x0046744c,__clock_nanosleep,0.5625,9,16,0
0x00060668,__clock_nanosleep_time64,0x00467370,__clock_nanosleep_time64,0.5714285714285714,8,14,0
0x0002991c,__close,0x0041f010,__close,0.8235294117647058,14,17,0
0x0002a2b8,__close_nocancel,0x0041fd60,__close_nocancel,0.5833333333333334,7,12,0
0x0002859c,__closedir,0x0041d580,__closedir,0.9,9,10,0
0x000204e0,__correctly_grouped_prefixmb,0x00413840,__correctly_grouped_prefixmb,0.75,15,20,0
0x0002a5b8,__cp_stat64_t64_stat64,0x00420080,__cp_stat64_t64_stat64,0.8,12,15,0
0x0002e5e8,__ctype_b_loc,0x00425610,__ctype_b_loc,0.6,3,5,0
0x0002e644,__ctype_init,0x00425670,__ctype_init,0.75,6,8,0
0x0002e624,__ctype_tolower_loc,0x00425650,__ctype_tolower_loc,0.3333333333333333,2,6,0
0x0002e604,__ctype_toupper_loc,0x00425630,__ctype_toupper_loc,0.3333333333333333,2,6,0
0x00064658,__current_locale_name,0x0046c8a0,__current_locale_name,0.6666666666666666,6,9,0
0x0001f93c,__cxa_atexit,0x00412bcc,__cxa_atexit,1.0,3,3,0
0x00052178,__dcgettext,0x004543d0,__dcgettext,1.0,2,2,0
0x00052da8,__dcigettext,0x00455454,__dcigettext,0.7857142857142857,22,28,0
0x0006a860,__dl_find_object,0x0047489c,__dl_find_object,0.84,21,25,0
0x00061e7c,__dl_libc_freemem,0x00469338,__dl_libc_freemem,1.0,13,13,0
0x0006b77c,__dladdr,0x00475c60,__dladdr,1.0,2,2,0
0x0006b788,__dladdr1,0x00475c80,__dladdr1,1.0,8,8,0
0x0006b7b0,__dlclose,0x00475cd0,__dlclose,0.6666666666666666,6,9,0
0x0006b7d8,__dlerror,0x00475d10,__dlerror,0.9411764705882353,16,17,0
0x0006bcd4,__dlinfo,0x004763c8,__dlinfo,1.0,5,5,0
0x0006bdd0,__dlmopen,0x004764d4,__dlmopen,0.5454545454545454,6,11,0
0x0006bf34,__dlopen,0x00476698,__dlopen,0.6666666666666666,6,9,0
0x0006bfd0,__dlsym,0x004767bc,__dlsym,0.8,8,10,0
0x0006c0a8,__dlvsym,0x00476940,__dlvsym,0.8,8,10,0
0x000104bc,__do_global_dtors_aux,0x004009fc,__do_global_dtors_aux,0.75,6,8,0
0x0001f284,__errno_location,0x004123a0,__errno_location,0.2857142857142857,2,7,0
0x0002a2fc,__fcntl64_nocancel,0x0041fe90,__fcntl64_nocancel,0.13333333333333333,2,15,0
0x0002a3b8,__fcntl64_nocancel_adjusted,0x0041fdc0,__fcntl64_nocancel_adjusted,0.8125,13,16,0
0x00066a78,__fdopendir,0x0046fd20,__fdopendir,0.9333333333333333,14,15,0
0x0005ecc4,__fgets_unlocked,0x004651a0,__fgets_unlocked,0.9473684210526315,18,19,0
0x0005b82c,__fopen_internal,0x0046089c,__fopen_internal,1.0,14,14,0
0x0005b7c4,__fopen_maybe_mmap,0x00460820,__fopen_maybe_mmap,0.8461538461538461,11,13,0
0x0003ed90,__fortify_fail,0x0043b300,__fortify_fail,1.0,3,3,0
0x0002fbcc,__fprintf,0x004270c0,__fprintf,1.0,6,6,0
0x00029cb4,__fstat64,0x0041f4b4,__fstat64,0.9230769230769231,12,13,0
0x00029c70,__fstat64_time64,0x0041f470,__fstat64_time64,0.7272727272727273,8,11,0
0x00029f50,__fstatat64,0x0041f7fc,__fstatat64,1.0,9,9,0
0x00029d30,__fstatat64_time64,0x0041f560,__fstatat64_time64,0.8181818181818182,18,22,0
0x00057544,__funlockfile,0x0045b0e0,__funlockfile,0.6875,11,16,0
0x0005edf4,__futex_abstimed_wait64,0x004654f0,__futex_abstimed_wait64,0.11764705882352941,2,17,0
0x0005eea4,__futex_abstimed_wait_cancelable64,0x00465534,__futex_abstimed_wait_cancelable64,0.1,2,20,0
0x0005efc4,__futex_lock_pi64,0x0046557c,__futex_lock_pi64,0.75,12,16,0
0x00070630,__gcc_personality_v0,0x004801f4,__gcc_personality_v0,0.7894736842105263,15,19,0
0x00062338,__gconv,0x004698f0,__gconv,0.8571428571428571,18,21,0
0x00047944,__gconv_alias_compare,0x00448580,__gconv_alias_compare,1.0,3,3,0
0x00049aa4,__gconv_btwoc_ascii,0x0044b260,__gconv_btwoc_ascii,0.3,3,10,0
0x00050ff8,__gconv_cache_freemem,0x00452e74,__gconv_cache_freemem,0.8571428571428571,6,7,0
0x00062538,__gconv_close,0x00469b80,__gconv_close,0.9166666666666666,11,12,0
0x00048928,__gconv_close_transform,0x004499e0,__gconv_close_transform,0.8095238095238095,17,21,0
0x00048558,__gconv_compare_alias,0x00449534,__gconv_compare_alias,0.9230769230769231,12,13,0
0x00050b2c,__gconv_compare_alias_cache,0x004527fc,__gconv_compare_alias_cache,0.9090909090909091,10,11,0
0x000499c4,__gconv_conf_freemem,0x0044b0e8,__gconv_conf_freemem,0.6666666666666666,6,9,0
0x00062720,__gconv_create_spec,0x00469e70,__gconv_create_spec,0.8333333333333334,20,24,0
0x00048a9c,__gconv_db_freemem,0x00449ba0,__gconv_db_freemem,1.0,8,8,0
0x000629e0,__gconv_destroy_spec,0x0046a1f8,__gconv_destroy_spec,1.0,4,4,0
0x00051308,__gconv_dl_freemem,0x00453280,__gconv_dl_freemem,1.0,5,5,0
0x000510f4,__gconv_find_shlib,0x00453020,__gconv_find_shlib,0.75,15,20,0
0x0004862c,__gconv_find_transform,0x00449674,__gconv_find_transform,0.8421052631578947,16,19,0
0x00047a98,__gconv_get_alias_db,0x00448830,__gconv_get_alias_db,1.0,2,2,0
0x000499f0,__gconv_get_builtin_trans,0x0044b140,__gconv_get_builtin_trans,1.0,13,13,0
0x0005091c,__gconv_get_cache,0x0045253c,__gconv_get_cache,1.0,2,2,0
